t,star_mass,26al_mass_loss_rate,60fe_mass_loss_rate,star_mass_loss_rate,26al_total_mass_loss,60fe_total_mass_loss,star_total_mass_loss
0.432153142572,5.88620176697,6.39812816486e-12,3.87974527467e-12,2.41265087811e-07,3.01782444556e-06,1.82997117762e-06,0.113798233029
0.433088538985,5.88597359039,6.46895027793e-12,3.92269092244e-12,2.43935697541e-07,3.02387547844e-06,1.83364044864e-06,0.114026409606
0.434023935397,5.88574287486,6.54093130495e-12,3.96633932119e-12,2.46650008407e-07,3.02999384212e-06,1.83735054821e-06,0.114257125139
0.43495933181,5.88550957861,6.61409639477e-12,4.01070572089e-12,2.49408968741e-07,3.03618064416e-06,1.84110214796e-06,0.114490421393
0.435894728222,5.88527365895,6.6884713775e-12,4.0558057846e-12,2.52213552563e-07,3.04243701629e-06,1.84489593414e-06,0.114726341045
0.436830124635,5.88503507229,6.76408278665e-12,4.10165560189e-12,2.55064760416e-07,3.04876411506e-06,1.84873260807e-06,0.114964927707
0.437765521047,5.88479377405,6.84095788211e-12,4.14827170282e-12,2.57963620235e-07,3.05516312252e-06,1.85261288654e-06,0.115206225952
0.43870091746,5.88454971866,6.91912467405e-12,4.19567107243e-12,2.60911188248e-07,3.06163524692e-06,1.85653750221e-06,0.115450281342
0.439636313872,5.88430285955,6.99861194774e-12,4.24387116573e-12,2.6390854991e-07,3.06818172343e-06,1.86050720407e-06,0.115697140452
0.440571710285,5.8840531491,7.07944928927e-12,4.29288992336e-12,2.66956820873e-07,3.0748038149e-06,1.86452275791e-06,0.115946850905
0.441507106697,5.88380053861,7.16166711234e-12,4.34274578782e-12,2.70057147998e-07,3.08150281262e-06,1.86858494674e-06,0.116199461392
0.44244250311,5.88354497829,7.24529668607e-12,4.3934577203e-12,2.73210710404e-07,3.08828003715e-06,1.87269457133e-06,0.116455021711
0.443377899522,5.88328641721,7.33037016386e-12,4.44504521823e-12,2.76418720554e-07,3.0951368391e-06,1.87685245068e-06,0.11671358279
0.444313295935,5.88302480327,7.41692061347e-12,4.49752833348e-12,2.79682425389e-07,3.10207460004e-06,1.88105942255e-06,0.116975196728
0.445248692347,5.88276008318,7.50498204824e-12,4.55092769133e-12,2.83003107508e-07,3.10909473332e-06,1.88531634398e-06,0.117239916819
0.44618408876,5.8824922024,7.59458945957e-12,4.60526451012e-12,2.86382086391e-07,3.11619868505e-06,1.88962409188e-06,0.117507797595
0.447119485172,5.88222110514,7.68577885069e-12,4.66056062176e-12,2.89820719674e-07,3.12338793502e-06,1.89398356357e-06,0.117778894857
0.448054881585,5.88194673429,7.77858727184e-12,4.71683849306e-12,2.93320404472e-07,3.13066399765e-06,1.89839567737e-06,0.118053265711
0.448990277997,5.88166903139,7.87305285681e-12,4.77412124787e-12,2.96882578763e-07,3.13802842305e-06,1.90286137326e-06,0.11833096861
0.44992567441,5.88138793661,7.96921486107e-12,4.83243269022e-12,3.00508722817e-07,3.14548279804e-06,1.90738161346e-06,0.118612063391
0.450861070822,5.88110338868,8.06711370135e-12,4.89179732831e-12,3.04200360697e-07,3.15302874725e-06,1.91195738314e-06,0.118896611317
0.451796467235,5.88081532488,8.16679099693e-12,4.95224039955e-12,3.07959061812e-07,3.16066793425e-06,1.91658969104e-06,0.119184675119
