vel,fe/h,isotope,13m,15m,20m,25m,30m,40m,60m,80m,120m
300,0,La139,9.8399e-09,1.1291e-08,1.5226e-08,1.9988e-08,2.4212e-08,3.3748e-08,5.5866e-08,8.0579e-08,1.3053e-07
300,0,La140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Ce140,2.6497e-08,3.04e-08,4.0976e-08,5.3809e-08,6.5173e-08,9.083e-08,1.5038e-07,2.1686e-07,3.5135e-07
300,0,Ce141,2.2813e-34,3.93e-26,7.9424e-34,5.4934e-34,1.0564000000000001e-33,1.1042e-33,2.8129e-34,3.3411e-34,3.9104e-34
300,0,Pr141,4.1571e-09,4.7605e-09,6.3926e-09,8.3594e-09,1.0112e-08,1.4029e-08,2.3251e-08,3.3542e-08,5.4615e-08
300,0,Pr142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Nd142,5.6937e-09,6.5423e-09,8.8504e-09,1.1669e-08,1.4152e-08,1.9806e-08,3.2762e-08,4.7198e-08,7.6137e-08
300,0,Nd143,2.536e-09,2.9016e-09,3.8856e-09,5.0413e-09,6.0907e-09,8.3971e-09,1.3902e-08,2.0201e-08,3.3045e-08
300,0,Nd144,5.0592e-09,5.7995e-09,7.8063e-09,1.0281e-08,1.2448e-08,1.7366e-08,2.8798e-08,4.133e-08,6.699e-08
300,0,Hg202,5.0307e-09,5.7823e-09,7.8281e-09,1.0333e-08,1.2538e-08,1.7561e-08,2.9031e-08,4.1851e-08,6.7434e-08
300,0,Hg203,4.4283e-34,1.5941e-26,1.6834e-33,1.0645e-33,2.0604e-33,2.1416000000000002e-33,5.3316e-34,6.3326e-34,7.412500000000001e-34
300,0,Hg204,1.1649e-09,1.3332e-09,1.788e-09,2.3439e-09,2.8343e-09,3.9345e-09,6.5252e-09,9.3926e-09,1.5295e-08
300,0,Hg205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Tl203,2.6781e-09,3.073e-09,4.1439e-09,5.4262e-09,6.5733e-09,9.1474e-09,1.5129e-08,2.1881e-08,3.5477e-08
300,0,Tl204,1.6666e-32,2.9263e-24,5.7977e-32,3.9980999999999996e-32,7.6823e-32,8.0774e-32,2.0637e-32,2.4491999999999998e-32,2.8703999999999996e-32
300,0,Tl205,6.4558e-09,7.4055e-09,9.9707e-09,1.3058e-08,1.5807e-08,2.1987e-08,3.6407e-08,5.258e-08,8.5325e-08
300,0,Tl206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Pb204,1.2973e-09,1.5012e-09,2.0624e-09,2.7371e-09,3.335e-09,4.7238e-09,7.7817e-09,1.124e-08,1.7869e-08
300,0,Pb205,5.4179e-19,5.752e-19,9.721e-19,3.0638e-18,2.7473e-18,3.0773e-18,2.7043e-19,2.8425000000000005e-19,2.6998000000000005e-19
300,0,Pb206,1.2121e-08,1.392e-08,1.8799e-08,2.4695e-08,2.9927e-08,4.1767e-08,6.9107e-08,9.9752e-08,1.6132e-07
300,0,Pb207,1.3472e-08,1.5458e-08,2.0842e-08,2.7364e-08,3.3147e-08,4.6201e-08,7.6482e-08,1.1031e-07,1.7869e-07
300,0,Pb208,3.8747e-08,4.4458e-08,5.994e-08,7.8709e-08,9.5343e-08,1.329e-07,2.2e-07,3.1726e-07,5.1394e-07
300,0,Pb209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Bi208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0,Bi209,5.2532e-09,6.0246e-09,8.1157e-09,1.0657e-08,1.2906e-08,1.798e-08,2.9773e-08,4.291e-08,6.9569e-08
