vel,fe/h,isotope,13m,15m,20m,25m
300,0,H,0.0,0.0,0.0,0.0
300,0,H2,0.0,0.0,0.0,0.0
300,0,H3,0.0,0.0,0.0,0.0
300,0,He3,0.0,0.0,0.0,0.0
300,0,He4,0.6362999999999999,0.6006999999999998,0.4913999999999996,0.48049999999999926
300,0,Li6,0.0,0.0,0.0,0.0
300,0,Li7,0.0,0.0,0.0,0.0
300,0,Be7,0.0,0.0,0.0,0.0
300,0,Be9,0.0,0.0,0.0,0.0
300,0,Be10,3.0987e-60,3.9361e-60,5.079699999999999e-60,6.7282e-60
300,0,B10,0.0,0.0,0.0,0.0
300,0,B11,0.0,0.0,0.0,0.0
300,0,C12,0.5182549999999999,0.515833,0.953449,1.2214500000000001
300,0,C13,0.0003294000000000001,0.00036379999999999984,0.00035899999999999994,4.739999999999996e-05
300,0,C14,4.114399936021e-05,0.000391349962866,0.001117399940561,1.1145997480599999e-05
300,0,N13,1.8857999999999998e-14,1.1715000000000004e-14,3.648999999999998e-14,5.751868e-12
300,0,N14,0.005492000000000004,0.007567000000000004,0.007450000000000012,0.0005100000000000104
300,0,N15,2.55159e-05,4.48634e-05,1.78111e-05,4.899999999999995e-07
300,0,N16,1.2942e-26,7.3901e-26,3.129e-24,2.2844e-23
300,0,O15,1.5976000000000006e-16,3.1130000000000015e-16,1.6139999999999998e-15,4.40743e-14
300,0,O16,1.45873,1.875906,2.8850640000000003,3.8183219999999998
300,0,O17,1.9937999999999998e-05,6.6261e-05,0.000109896,2.6373e-05
300,0,O18,5.7954e-05,0.000642339,0.000909246,2.8160000000000015e-06
300,0,O19,8.0454e-20,6.1491e-20,7.2943e-19,4.541700000000001e-19
300,0,F17,0.0,0.0,0.0,0.0
300,0,F18,8.199499999996422e-07,7.852899999978059e-07,7.950399999306409e-08,5.492099999983645e-08
300,0,F19,0.0005148874,0.00010955240000000001,0.00012683480000000001,5.779799999999999e-06
300,0,F20,5.3647e-21,3.7291e-20,4.557500000000001e-19,2.2794e-18
300,0,Ne20,0.0758164,0.07994,0.077404,0.481608
300,0,Ne21,0.00039384200000000004,0.000412841,0.0006443309999999999,0.00078103
300,0,Ne22,0.031088249999999998,0.0596307,0.0996274,0.033213000000000006
300,0,Ne23,5.5491e-13,1.7995e-13,6.0162e-13,1.6131e-12
300,0,Na21,6.5178e-15,7.047e-15,1.4914e-14,2.8784e-14
300,0,Na22,3.628299999991849e-07,2.386599999962044e-07,3.986599999923083e-07,1.0092999999981658e-06
300,0,Na23,0.00173695,0.0015900999999999999,0.0029208999999999997,0.009163399999999999
300,0,Na24,4.4688e-06,1.4649e-06,1.9805e-05,5.5916e-06
300,0,Mg23,1.3784e-13,6.354e-14,6.0917e-13,3.0399e-12
300,0,Mg24,0.0159351,0.0187733,0.0275783,0.0994772
300,0,Mg25,0.00949973,0.011432349999999999,0.01514789,0.02198571
300,0,Mg26,0.00700985,0.011113010000000001,0.0171224,0.0191092
300,0,Mg27,2.3569e-11,2.9474e-11,9.4845e-11,3.2751e-10
300,0,Al25,1.2717e-17,9.9322e-18,1.8408e-17,2.1017e-16
300,0,Al26,3.83382e-05,5.74891e-05,4.9048199999999996e-05,0.000115902
300,0,Al27,0.00223421,0.00282098,0.00504226,0.01462
300,0,Al28,7.5977e-13,6.2138e-13,1.584e-10,4.7376e-10
300,0,Si27,3.5748e-18,1.4605e-18,2.7331e-13,9.7869e-14
300,0,Si28,0.1073471,0.25321530000000003,0.2253507,0.2624431
300,0,Si29,0.00230626,0.0041148800000000004,0.01020715,0.008117119999999999
300,0,Si30,0.00228201,0.00565709,0.016732729999999998,0.01341896
300,0,Si31,9.8181e-08,2.3913e-07,8.8318e-07,2.5891e-07
300,0,Si32,5.6936e-08,5.6296e-08,6.2144e-07,3.7077e-08
300,0,P29,1.0352e-18,3.266e-19,1.9511e-18,9.772e-18
300,0,P30,8.0885e-13,6.7876e-13,1.1288e-10,1.0559e-10
300,0,P31,0.000705343,0.0016537260000000001,0.003410036,0.002986505
300,0,P32,2.3626e-06,5.8446e-06,1.2828e-05,4.4641e-06
300,0,P33,1.6219e-06,8.4729e-06,6.787e-06,2.2903e-06
300,0,P34,9.479800000000001e-20,4.8357e-20,1.8772e-17,9.277e-18
300,0,S31,5.5463e-24,6.5637e-23,2.9928e-16,3.7078e-17
300,0,S32,0.07758559999999999,0.1214456,0.08838410000000001,0.0910987
300,0,S33,0.000812401,0.001327571,0.0015044840000000002,0.001437963
300,0,S34,0.00184249,0.00826151,0.01575949,0.0103292
300,0,S35,3.6694e-06,1.7409e-05,1.5982e-05,5.2532e-06
300,0,S36,6.6924600000000005e-06,2.104631e-05,1.4800409999999999e-05,6.455e-06
300,0,S37,6.1923e-17,3.0669e-17,1.2955e-16,3.5649e-15
300,0,Cl33,1.8133999999999999e-22,3.2319999999999997e-23,5.8491e-22,1.375e-20
300,0,Cl34,1.0954e-22,1.0663e-23,1.1675000000000001e-20,2.4856999999999997e-21
300,0,Cl35,0.00044575999999999996,0.000872286,0.0008720619999999999,0.000656357
300,0,Cl36,6.197189499999999e-06,1.8638447e-05,1.4159884000000001e-05,1.109166e-05
300,0,Cl37,7.435e-05,0.00016611,0.000122645,0.000150344
300,0,Cl38,7.5439e-11,2.0631e-10,5.3306e-10,7.3148e-11
300,0,Ar36,0.01883365,0.01886569,0.01192619,0.01375236
300,0,Ar37,0.00010445,9.654899999999943e-05,7.5758e-05,7.2115e-05
300,0,Ar38,0.0019384860000000001,0.006280345,0.00642075,0.0038960199999999996
300,0,Ar39,6.2569e-06,3.193899999999965e-05,6.065e-06,7.5075e-06
300,0,Ar40,2.16751e-06,6.632569999999999e-06,3.79557e-06,2.50281e-06
300,0,Ar41,1.8342e-09,4.2511e-09,2.4649e-08,7.1154e-10
300,0,K37,1.6121e-30,7.453199999999999e-32,8.770400000000001e-30,5.6773e-27
300,0,K38,2.7792e-17,3.3365e-14,2.1347e-13,2.1883e-13
300,0,K39,0.00048425599999999997,0.000840012,0.00032581600000000004,0.00026610500000000004
300,0,K40,5.180094999999999e-06,1.8928082e-05,4.07179e-06,4.52137e-06
300,0,K41,4.5626e-06,1.50502e-05,5.5797e-06,6.3276e-06
300,0,K42,4.125e-07,1.4184e-06,1.0274e-06,1.1203e-07
300,0,Ca40,0.0188127,0.01474978,0.00876387,0.0111177
300,0,Ca41,0.000102572548,0.00010331301,2.878053e-05,3.49188e-05
300,0,Ca42,0.0001507595,0.0002787229,0.00022178400000000002,0.0001602585
300,0,Ca43,1.10347e-05,2.351731e-05,1.05291e-05,1.7013e-05
300,0,Ca44,2.8632e-05,4.6652999999999995e-05,4.5601999999999995e-05,6.4333e-05
300,0,Ca45,4.1751e-06,3.2551e-06,7.3294e-06,1.8644e-06
300,0,Ca46,1.9879499999999997e-06,1.2471309999999999e-06,6.712237e-06,1.105887e-06
300,0,Ca47,1.3387e-07,7.8513e-08,2.2046e-06,2.8697e-08
300,0,Ca48,3.172999999999999e-07,3.338000000000001e-07,8.070000000000001e-07,6.055999999999998e-07
300,0,Ca49,1.0769e-15,5.4326e-16,1.2782e-15,9.3088e-15
300,0,Sc41,4.3090999999999996e-44,5.9381e-46,3.023e-42,1.7899e-38
300,0,Sc42,6.8996e-36,6.4032e-38,7.5538e-35,3.0368e-34
300,0,Sc43,5.3057e-08,6.3432e-08,3.8516e-08,5.7397e-08
300,0,Sc44,1.2623e-07,2.2864e-07,9.6515e-09,1.6953e-08
300,0,Sc45,7.50419e-06,1.460272e-05,4.61178e-06,1.184777e-05
300,0,Sc46,1.0689e-06,1.7231e-06,1.3658e-06,1.3377e-06
300,0,Sc47,5.4062e-07,4.448e-07,1.9393e-06,4.4997e-07
300,0,Sc48,1.6266e-07,4.9484e-08,1.609e-06,1.0789e-07
300,0,Sc49,1.7958e-10,2.5159e-11,8.3917e-09,8.085e-11
300,0,Ti44,3.615e-05,6.0225e-06,3.2471e-05,4.5938e-05
300,0,Ti45,3.8433e-07,1.2934e-07,9.9853e-08,1.1479e-07
300,0,Ti46,5.78573e-05,0.0001356342,8.91745e-05,7.280439999999999e-05
300,0,Ti47,8.1793e-06,2.0321e-05,9.2554e-06,1.2959900000000001e-05
300,0,Ti48,9.488000000000001e-06,2.5879999999999996e-05,1.7355999999999998e-05,2.0332e-05
